Hogar,Muestra (puntos),ADF estadístico,ADF p-valor,ADF conclusión,KPSS estadístico,KPSS p-valor,KPSS conclusión,Conclusión final
House1,41622,-13.829,0.0,ESTACIONARIA,4.3054,0.01,NO ESTACIONARIA,POSIBLEMENTE estacionaria (diferencia ADF/KPSS)
House2,43201,-20.6721,0.0,ESTACIONARIA,0.0872,0.1,ESTACIONARIA,ESTACIONARIA (ambos tests)
House3,30721,-12.9043,0.0,ESTACIONARIA,0.6847,0.014935,NO ESTACIONARIA,POSIBLEMENTE estacionaria (diferencia ADF/KPSS)
