hogar,rol,horizonte_min,modelo,rmse,mae,mape,r2,n
1,train,1,persistencia,411.95703196972,89.71230134765865,14.26435567360778,0.6215612087034137,144085
1,train,1,media_hora_dia,676.9657355654954,356.98881743676077,118.66308673486962,-0.02196894281944406,144099
1,train,15,persistencia,845.2483735220387,242.2123315342535,54.911338845205634,-0.5918593596931914,143889
1,train,15,media_hora_dia,676.977064925053,356.974716622669,118.66663292656487,-0.021981780776789472,144085
1,train,60,persistencia,889.3024823079647,291.7990707632496,72.88111061145013,-0.776565941148639,143373
1,train,60,media_hora_dia,677.0299701849169,356.9582687404642,118.6819832074016,-0.02202676600413933,144040
1,train,1440,persistencia,870.8716589117239,279.3599050812512,74.29504710283969,-0.7635626965020643,132314
1,train,1440,media_hora_dia,670.8757699102423,353.9807882112229,119.14032977060323,-0.026448800303565,142660
3,train,1,persistencia,330.4992130579699,94.50000567733403,9.981618855626873,0.8417452002074162,152904
3,train,1,media_hora_dia,774.8907342286961,460.7912909872166,90.7541909927195,0.1300172870531061,152910
3,train,15,persistencia,852.2356992638788,395.8103014564277,58.02563190400806,-0.05249388834210733,152820
3,train,15,media_hora_dia,774.9208081231,460.80579601695536,90.75623679271523,0.13002385842216957,152896
3,train,60,persistencia,1013.9709880140201,503.26277365578284,83.22675122819571,-0.49546572039253656,152580
3,train,60,media_hora_dia,775.0197657366812,460.85872149308614,90.76183283289124,0.13003102012586443,152851
3,train,1440,persistencia,1050.4933063284618,525.8885211495583,88.43011798963899,-0.6288702942443889,145680
3,train,1440,media_hora_dia,777.4850157293516,462.4042181793338,91.09160556372532,0.12965534746399476,151471
4,train,1,persistencia,182.43048670764156,47.027099599388286,10.99094941391292,0.7463215948530533,135369
4,train,1,media_hora_dia,356.0387928955609,199.23430604875978,86.29408966660137,0.033670211319678955,135385
4,train,15,persistencia,451.4374209639358,212.7213820339435,69.31464371111457,-0.5513330377796615,135161
4,train,15,media_hora_dia,356.0546131370814,199.24113375393935,86.29701784169718,0.03367363358613151,135371
4,train,60,persistencia,509.8722817345055,278.05280403641757,108.27692865701775,-0.9756991201068987,134617
4,train,60,media_hora_dia,356.0426776008187,199.23568643353914,86.30461653761373,0.033685300917340566,135326
4,train,1440,persistencia,488.6892735608449,249.22939311103013,91.44795703301625,-0.8250680309756264,125106
4,train,1440,media_hora_dia,355.37979439215655,199.31763413525775,86.50349267329274,0.03327966321589193,133946
5,train,1,persistencia,305.6900241642865,73.3106542604891,6.680166210566963,0.7622242459599693,150716
5,train,1,media_hora_dia,585.6600269771216,355.4480161613337,52.33891923171855,0.1275986221981119,150738
5,train,15,persistencia,666.2905056596042,254.57322323232071,29.21133397585503,-0.12970128464157815,150426
5,train,15,media_hora_dia,585.6870565211071,355.4770602535052,52.342684618641314,0.12757859703887586,150724
5,train,60,persistencia,769.4527571367407,343.7978747106221,42.077990250636056,-0.5052834355497557,149883
5,train,60,media_hora_dia,585.7731762467877,355.56291951241,52.352116416544234,0.12750201834888308,150679
5,train,1440,persistencia,824.2564582610726,420.57240902439895,58.54002082553402,-0.710444026049776,141040
5,train,1440,media_hora_dia,585.2637462308253,354.9683126905161,52.35406858576247,0.128168422271298,149299
6,train,1,persistencia,268.41276267938946,71.31578250627489,11.692828927694505,0.5209877502127331,119524
6,train,1,media_hora_dia,378.8092536486986,204.67056118410034,42.97375073791579,0.04605875630784251,119532
6,train,15,persistencia,467.26893350301077,195.16494170245733,38.021830642771974,-0.4510076816463784,119398
6,train,15,media_hora_dia,378.82971962098156,204.6854040442488,42.97665346388174,0.0460634141178593,119518
6,train,60,persistencia,480.90475733194006,215.34825945788347,43.02435341468598,-0.5365774638615401,119015
6,train,60,media_hora_dia,378.8744705658273,204.67784083037353,42.969535717571574,0.0461590487186605,119473
6,train,1440,persistencia,517.9034884393486,252.16121692466845,53.22205440817393,-0.7305066381664673,108746
6,train,1440,media_hora_dia,379.8371805737794,205.19643149346314,43.045480131773886,0.045871406722060915,118093
7,train,1,persistencia,310.96002179285625,94.05232684574395,14.483991756038137,0.8314180927484955,134737
7,train,1,media_hora_dia,712.7612429189724,442.7871014991674,150.9296860351782,0.11429747898592468,134749
7,train,15,persistencia,821.5592557961596,384.1373574113878,88.89696058754775,-0.17789743735505037,134564
7,train,15,media_hora_dia,712.7843867167658,442.7892514734877,150.92369286629477,0.11432097127696284,134735
7,train,60,persistencia,948.0762838157344,474.02450184505386,127.88991628240444,-0.5687491875181658,134053
7,train,60,media_hora_dia,712.8596304382154,442.7954377587794,150.9139456880855,0.11440103330599993,134690
7,train,1440,persistencia,959.2497133614505,473.9300695554948,124.26400839970604,-0.5696997772072427,122390
7,train,1440,media_hora_dia,713.9513325881637,443.4834804456268,151.3982965635207,0.11293796556629154,133310
8,train,1,persistencia,539.6837380128659,118.64820705245745,13.633675999833821,0.7787784508623927,148120
8,train,1,media_hora_dia,1030.8315270810083,520.9386791447034,101.3309858657942,0.19289039665598706,148124
8,train,15,persistencia,1246.254671988224,496.5175744806483,81.2806445271097,-0.17942245959612846,148050
8,train,15,media_hora_dia,1030.8797566061464,520.978474308481,101.33688246129542,0.19287844002488697,148110
8,train,60,persistencia,1530.2486667912938,670.21648593932,116.51444055323152,-0.7761255271496188,147825
8,train,60,media_hora_dia,1031.0182894343627,521.0436756651712,101.34911507052205,0.19288254935161886,148065
8,train,1440,persistencia,1265.8233194564273,529.625065866409,98.99430221017356,-0.2152020779894066,142300
8,train,1440,media_hora_dia,1032.895049539415,521.6863258940625,101.6625991508304,0.19237878956472654,146685
9,train,1,persistencia,418.05233949603604,94.71231156528229,11.211352168542671,0.8008666533107028,128649
9,train,1,media_hora_dia,883.5831779223032,439.3822075854585,119.72547417772736,0.1108147285865454,128655
9,train,15,persistencia,1090.4824918042661,355.52492773157735,67.59297811327873,-0.355761614091999,128551
9,train,15,media_hora_dia,883.6312257868817,439.42789371611445,119.73734616517618,0.11080098735978972,128641
9,train,60,persistencia,1198.3516354679048,467.8993835873077,97.37837431705461,-0.6369656390580496,128236
9,train,60,media_hora_dia,883.7845416351279,439.5593159710796,119.77124032290718,0.11077285277825144,128596
9,train,1440,persistencia,1243.0869701778865,514.00898192471,125.46492759255392,-0.73126552241604,120016
9,train,1440,media_hora_dia,885.5057509477979,441.0909402445426,120.13418999236035,0.11074154869351927,127216
10,train,1,persistencia,326.4766930727684,91.13266982138457,12.570402520908356,0.7781336002775255,133863
10,train,1,media_hora_dia,720.0750710600679,498.83167313983586,121.74499738673832,-0.0793386729416723,133872
10,train,15,persistencia,669.3546186880533,273.3650213292706,46.72146120131709,0.06712103066524122,133735
10,train,15,media_hora_dia,720.1114050057643,498.8697785680695,121.7519367581881,-0.07936216865832946,133858
10,train,60,persistencia,907.9442952700704,395.7707259177248,69.15160691149688,-0.7180246771923038,133406
10,train,60,media_hora_dia,719.9274005427761,498.76755414042094,121.76484317505928,-0.07929241322461111,133813
10,train,1440,persistencia,928.7430256251469,421.13727377762484,82.21241769469417,-0.7608197228134643,124933
10,train,1440,media_hora_dia,720.7621529127922,498.9416780003163,121.62419945531744,-0.08112782645749417,132433
11,train,1,persistencia,236.07695671819985,78.37375332811116,10.795281623083504,0.8918626117190804,89710
11,train,1,media_hora_dia,583.2453443655779,339.07652944863963,60.922183173285816,0.33994021195813773,89713
11,train,15,persistencia,471.94375702359844,236.72991649275133,50.82004598243166,0.5679606428177282,89656
11,train,15,media_hora_dia,583.2905807240385,339.12321647952865,60.9263003801985,0.33989514760002004,89699
11,train,60,persistencia,563.5826739236483,317.6575492349752,67.79675555875363,0.384390580280498,89521
11,train,60,media_hora_dia,583.4356432959238,339.26748023029467,60.93299128711617,0.33973074089454436,89654
11,train,1440,persistencia,660.9936739324537,377.54113366181286,80.95203357653133,0.1581935798812999,85381
11,train,1440,media_hora_dia,585.2358887772571,340.1931750226058,61.152199948191935,0.3386242427499284,88274
12,train,1,persistencia,261.92788805281083,57.24789656009029,9.690888683062733,0.7627963535178276,110750
12,train,1,media_hora_dia,517.8959451991776,257.09961951053646,79.045670732178,0.07262329918791721,110754
12,train,15,persistencia,646.2920635739144,220.9255181821056,49.48297504165474,-0.4435083544413658,110694
12,train,15,media_hora_dia,517.8959451991776,257.09961951053646,79.045670732178,0.07262329918791721,110754
12,train,60,persistencia,711.1971280487542,280.77430239824827,73.86295979836103,-0.7533120715075026,110514
12,train,60,media_hora_dia,517.8959451991776,257.09961951053646,79.045670732178,0.07262329918791721,110754
12,train,1440,persistencia,725.2357335265101,290.85100846753147,82.92838101520107,-0.8637438481899395,104994
12,train,1440,media_hora_dia,516.4654589814756,256.620540630994,79.10614217179189,0.07250816379774072,109477
15,train,1,persistencia,145.95602890203534,18.891849501482298,4.729634932069264,0.7203485008061601,128517
15,train,1,media_hora_dia,284.7242004819,130.554513294527,61.95705803734693,-0.06423591787728933,128522
15,train,15,persistencia,299.31394570738837,65.2998339423201,21.061598156517586,-0.17532027071210554,128433
15,train,15,media_hora_dia,284.73053550156175,130.54487997710785,61.949996876586496,-0.06416932646864582,128508
15,train,60,persistencia,373.3963925677714,92.16386056716837,30.058617667386855,-0.8289703469468885,128163
15,train,60,media_hora_dia,284.74468734909084,130.5064324967669,61.914949211590944,-0.06392029360107476,128463
15,train,1440,persistencia,391.1624113603152,107.58840162852948,43.654504005240106,-0.9624922585067963,119883
15,train,1440,media_hora_dia,283.3844179598874,130.4153244961729,62.13430189845679,-0.06639647436941676,127083
16,train,1,persistencia,255.19914093603282,55.009615082155854,9.751604024632773,0.6517750975341471,121659
16,train,1,media_hora_dia,516.8680429331356,389.79774985795916,154.32017789129006,-0.42850021179280096,121665
16,train,15,persistencia,489.15730662245363,168.58385218547068,39.674901615203815,-0.2797197596263512,121561
16,train,15,media_hora_dia,516.777581383128,389.74120486834556,154.3239578230601,-0.4293008278256487,121651
16,train,60,persistencia,555.3234654302985,209.64738250075857,51.98326915849441,-0.6608112265967803,121284
16,train,60,media_hora_dia,516.2474181225274,389.5542011393191,154.34617464731704,-0.4322810047188088,121606
16,train,1440,persistencia,570.4345938870133,228.91807733989947,62.555047273346595,-0.7626285781531057,113004
16,train,1440,media_hora_dia,516.8574398304024,390.7849564389462,155.40486338473394,-0.44386161929142576,120226
17,train,1,persistencia,458.3806445148298,108.8073985412791,19.629776200855478,0.6984696329735829,100196
17,train,1,media_hora_dia,811.6583095759318,306.09586948260215,98.72849407145229,0.05452880304964269,100202
17,train,15,persistencia,1081.426112311218,307.8919183556914,78.6545277692862,-0.6791270766389834,100098
17,train,15,media_hora_dia,811.7134776877754,306.11995781403175,98.73325875792004,0.05452585936322085,100188
17,train,60,persistencia,1126.8164940399863,346.60526028983895,93.65949231315447,-0.8551596768022895,99783
17,train,60,media_hora_dia,811.8822147569191,306.17727915886917,98.73459897822147,0.05454030428173773,100143
17,train,1440,persistencia,1139.0143450162352,361.8268089442509,102.80845181867898,-0.8966341274973839,91302
17,train,1440,media_hora_dia,813.4856148041862,305.705778918984,99.08852776997482,0.0525554156105319,98763
18,train,1,persistencia,199.14123369053598,52.41037582252514,9.40570646560593,0.8252135540159208,103440
18,train,1,media_hora_dia,447.6939782261154,218.03606524664286,48.39202878406906,0.11708175885459426,103446
18,train,15,persistencia,565.7099986730681,277.61726564515095,63.593282550320005,-0.41687916356619725,103351
18,train,15,media_hora_dia,447.71109593533834,218.02575820416993,48.38335918479597,0.11711473028796071,103432
18,train,60,persistencia,593.3347437371729,260.0228329014503,54.93261895511918,-0.5662075915110039,103085
18,train,60,media_hora_dia,447.7936001540146,218.05145776289962,48.38375627599974,0.11714822653239987,103387
18,train,1440,persistencia,617.9292844556555,294.65783974229873,66.13627454503194,-0.6941306815961616,96185
18,train,1440,media_hora_dia,449.1862343110137,218.6642173923569,48.44453673673753,0.11617944172907613,102007
19,train,1,persistencia,219.98185113326173,46.90145301398476,9.830298607510644,0.5474098681615529,100538
19,train,1,media_hora_dia,318.3493871657175,147.7708352864472,53.99302457427445,0.05210067065105173,100544
19,train,15,persistencia,391.710248186955,121.80100729687373,34.45676007502496,-0.4339468708024008,100440
19,train,15,media_hora_dia,318.35253414462,147.75142297684545,53.992593739526164,0.052147518104372015,100530
19,train,60,persistencia,443.04432600815363,160.99991581730833,50.831309986454976,-0.8304066516972022,100125
19,train,60,media_hora_dia,318.39804160327526,147.75155137499482,54.00029195457962,0.0522074237713116,100485
19,train,1440,persistencia,443.1971657374432,170.18201435566348,56.85555243254561,-0.8201903198391574,91834
19,train,1440,media_hora_dia,318.7814355933549,147.80116177281081,54.17013725193441,0.05238735813754003,99105
20,train,1,persistencia,282.7928794248417,63.383553058445735,10.650625412248154,0.5842312742878876,99648
20,train,1,media_hora_dia,411.1768765166102,199.06868721789007,64.9836868416575,0.12103941627952353,99653
20,train,15,persistencia,523.6178749172487,213.17618094809094,58.584080048732254,-0.42495037091311927,99578
20,train,15,media_hora_dia,411.1768765166102,199.06868721789007,64.9836868416575,0.12103941627952353,99653
20,train,60,persistencia,573.7283080018839,253.39010593442572,72.40621765266975,-0.7077782522899905,99353
20,train,60,media_hora_dia,411.1768765166102,199.06868721789007,64.9836868416575,0.12103941627952353,99653
20,train,1440,persistencia,581.867749310151,256.17102583309355,76.88662702467248,-0.7205600280285993,92453
20,train,1440,media_hora_dia,411.25485149077645,199.03890917579244,64.94569515252132,0.12117238696051269,99532
21,train,1,persistencia,196.67398210796028,54.35989792033444,7.608870552221306,0.9362178737772555,110512
21,train,1,media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.22865491588134912,110521
21,train,15,persistencia,465.6901164105606,179.36928096322123,36.690507875071454,0.64240642930809,110417
21,train,15,media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.22865491588134912,110521
21,train,60,persistencia,545.3954517448224,245.75560061269425,56.925587760462946,0.5093198574515732,110192
21,train,60,media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.22865491588134912,110521
21,train,1440,persistencia,617.2973337326885,293.8463110976801,66.07806851848335,0.3711277493322944,104658
21,train,1440,media_hora_dia,863.1975519078396,681.7840728743192,95.12647712657292,-0.22865491588134912,110521
2,validacion_externa,1,persistencia,440.66523990900413,86.73093379777451,12.529580528491932,0.8317657341320842,153139
2,validacion_externa,1,media_hora_dia,1050.9060542085065,471.44510907286656,136.8547236380606,0.043160727772082796,153150
2,validacion_externa,15,persistencia,1292.6618075288695,407.5557729368828,85.33290902729071,-0.44689512776707807,152979
2,validacion_externa,15,media_hora_dia,1050.8240463246766,471.33412170337897,136.86075743248526,0.043145796316368834,153136
2,validacion_externa,60,persistencia,1363.8157012191741,494.0978671418171,124.27503478572825,-0.6089077414844473,152517
2,validacion_externa,60,media_hora_dia,1050.7986331246836,471.2508265892154,136.88597592203976,0.0431696059036869,153091
2,validacion_externa,1440,persistencia,1405.0459578907403,584.1489461037925,178.65167697920162,-0.7380860661194986,145420
2,validacion_externa,1440,media_hora_dia,1045.3878264507723,468.05219438167535,137.40931299230294,0.04366636048321604,151711
13,validacion_externa,1,persistencia,392.56064508100286,96.7898079567179,10.15817736464285,0.7967840224696197,106603
13,validacion_externa,1,media_hora_dia,840.6046462216832,420.71975632843646,61.33909571805454,0.06815111028990639,106608
13,validacion_externa,15,persistencia,710.3413668043685,267.89263538439155,38.32079028340811,0.3350510075094447,106519
13,validacion_externa,15,media_hora_dia,840.6208017717806,420.6822508502533,61.30672450883969,0.06820702407722756,106594
13,validacion_externa,60,persistencia,855.8131363153607,355.01971458074894,55.824867654452206,0.03658049361395366,106249
13,validacion_externa,60,media_hora_dia,840.7112617066634,420.6170405754222,61.223256508266175,0.06829432076565145,106549
13,validacion_externa,1440,persistencia,966.5220755682459,429.6080021779339,65.7439662290212,-0.16935876141075523,97969
13,validacion_externa,1440,media_hora_dia,842.8881503831701,419.5846334389018,58.65255158130598,0.0721929166649441,105169
